Date,Community,State,Dead,Injured,Total,Description
"October 27, 2019",Detroit (2),Michigan,0,4,4,Four men were injured in a random drive by shooting.[85]
"October 27, 2019",Lansing,Michigan,1,4,5,One man was killed and four others were injured at a house party.[86]
"October 27, 2019",Greenville,Texas,2,10,12,Two men were killed and ten others injured at a large party to celebrate Texas A&M University's homecoming weekend.[87]
"October 26, 2019",Jersey City (2),New Jersey,0,4,4,Four people were wounded in a late night shooting.[88]
"October 24, 2019",Oklahoma City (3),Oklahoma,2,2,4,Two people were killed and two injured at a home late at night.[89]
"October 22, 2019",Oklahoma City (2),Oklahoma,1,3,4,One person was killed and three wounded at an apartment complex late at night.[90]
"October 21, 2019",Sumter (2),South Carolina,0,4,4,Four people were shot at random and wounded by a lone gunman.[91]
"October 20, 2019",Port Arthur,Texas,1,3,4,A woman was killed and three others injured in an early morning shooting.[92]
"October 19, 2019",Duquesne,Pennsylvania,0,4,4,Four people were shot in a drive-by shooting.[93]
"October 19, 2019",El Paso (2),Texas,1,3,4,One man was killed and two others and a woman were injured in an early morning shooting.[94]
"October 15, 2019",Miami,Oklahoma,2,2[n 3],4,A man killed his 11-year-old daughter and wounded her mother and the mother's boyfriend before committing suicide.[95]
"October 15, 2019",Columbus (4),Ohio,0,4,4,Three teenagers and an adult male were injured while sitting on a porch.[96]
"October 14, 2019",San Juan,Puerto Rico,6,0,6,2019 Río Piedras shooting: Six people were killed in a shootout at a housing project.[97]
"October 14, 2019",Philadelphia (11),Pennsylvania,3,1[n 1],4,A woman killed her two children and her husband before attempting to commit suicide.[98]
"October 13, 2019",Akron (2),Ohio,0,4,4,One woman and three men were wounded outside a bar.[99]
"October 13, 2019",Philadelphia (10),Pennsylvania,0,6,6,A 14-year-old boy and five men were wounded while standing on the street.[100]
"October 12, 2019",New York City (5),New York,4,3,7,Four people were killed and three injured at a social club.[101]
"October 12, 2019",Crosby,Texas,0,4,4,Four men were wounded after a brawl near a gas station.[102]
"October 12, 2019",Baltimore (14),Maryland,1,3,4,A man was killed and three others injured.[103]
"October 12, 2019",Chicago (30),Illinois,5,0,5,Four people were killed and one injured after a neighbor entered their apartment and opened fire. The fifth victim died of her injuries later in hospital.[104]
"October 12, 2019",Eastpointe,Michigan,1,5,6,One person was killed and five injured after an argument escalated in a local bar.[105]
"October 10, 2019",Philadelphia (9),Pennsylvania,0,5,5,Five men were wounded after a driver was angered over a game of dice.[106]
"October 10, 2019",Milwaukee (2),Wisconsin,1,3,4,"A man was killed while another man and two children, ages 10 and 14, were wounded.[107]"
"October 10, 2019",Tampa,Florida,2,2,4,Two people were killed and two wounded at a mobile home.[108]
"October 9, 2019",Baltimore (13),Maryland,1,3,4,"A man was killed and three other individuals, including a 15-year-old boy, were injured.[109]"
"October 7, 2019",Abington,Massachusetts,5[n 1],0,5,"A family of five, two adults and three children, were found shot to death in their home in an apparent murder-suicide.[110]"
"October 6, 2019",Denver (2),Colorado,0,4,4,"An argument escalated during a large gathering outside a home, and four people were wounded.[111]"
"October 6, 2019",Kansas City,Kansas,4,5,9,Four people were killed and another five people wounded in a shooting at a bar.[112]
"October 6, 2019",Evansville (2),Indiana,0,5,5,"An argument inside of an American Legion bar escalated, and five men were shot as they left the bar.[113]"
"October 5, 2019",Lawton,Oklahoma,4,0,4,Two adults and two children were discovered dead in a home.[114]
"October 3, 2019",Marshall,Missouri,1,3,4,Three people were wounded and a fourth later died at the hospital in a shooting.[115]
"October 3, 2019",Roxboro,North Carolina,1,3,4,A man was killed and three others wounded.[116]
"October 1, 2019",St. Louis (7),Missouri,0,4,4,Four men were wounded after two cars drove by a crowd of people and opened fire.[117]
"September 29, 2019",Clafin,Kansas,0,4,4,Four people were wounded after an individual fired a shotgun towards a group of people at a house party.[118]
"September 29, 2019",Jacksonville (5),Florida,0,4,4,Four people were injured while attending a large party after an individual fired into the air.[119]
"September 29, 2019",Milwaukee (1),Wisconsin,0,4,4,Four young women were injured after an individual fired into a home were a house party was being held.[120]
"September 29, 2019",Round Lake,Illinois,1,3,4,A man was killed and three injured after unknown individuals attempted to crash a house party and began shooting.[121]
"September 29, 2019",Beaumont,Texas,4,0,4,Four men were shot and killed at an apartment complex after a disturbance between roommates escalated.[122] The shooter was sentenced to life in 2022.[123]
"September 27, 2019",Seaman,Ohio,3[n 1],1,4,A man killed his mother then drove to a gas station where he attempted to kidnap a clerk then killed a man and injured the clerk before robbing another gas station and committing suicide.[124]
"September 24, 2019",Chicago (29),Illinois,1,3,4,A 17-year-old boy was killed and three adults were injured in the Lower West Side.[125]
"September 23, 2019",Gary,Indiana,2,2,4,Two men were killed and a woman and man injured in an early morning shooting.[126]
"September 22, 2019",Independence,Missouri,0,5,5,Five people were wounded at The SPOTT Lifestyle and Swingers Club.[127]
"September 21, 2019",New Orleans (5),Louisiana,0,4,4,Four people were wounded after shot were fired into their car.[128]
"September 21, 2019",Indianapolis (5),Indiana,0,6,6,Three adults and three juveniles were injured after a fight escalated.[129]
"September 21, 2019",Lancaster,South Carolina,2,8,10,"Ten people were shot, two fatally, during a bar fight that escalated.[130]"
"September 21, 2019",South Bend (2),Indiana,1,3,4,A man was killed and three women injured in an early morning shooting.[131]
"September 20, 2019",New Orleans (4),Louisiana,1,5,6,"Six people were shot, one fatally, at an intersection in the Mid-City Area.[132]"
"September 19, 2019",Washington (7),District of Columbia,1,5,6,"A man was killed, and four others and a woman injured, in a possible drive-by in the Columbia Heights District.[133]"
"September 18, 2019",Chicago (28),Illinois,3,1,4,Three men were killed and one injured after an argument about cigarettes escalated outside a West Garfield Park convenience store.[134]
"September 18, 2019",Los Angeles (6),California,2,2,4,"A man and woman were killed, and two other women injured, in the Wilmington neighborhood after an individual shot into a crowd of people.[135]"
"September 16, 2019",Cheyenne,Wyoming,2,2,4,"Two adults killed, two juveniles injured in east Cheyenne shooting.[136]"
"September 14, 2019",LaGrange,Georgia,0,4,4,Four individuals were wounded after an individual opened fire.[137]
"September 14, 2019",St. Louis (6),Missouri,2,2,4,"Responding police officers discovered a car covered in gunshots, and discovered a deceased male and two men and a female injured. One of the injured men later died.[138]"
"September 14, 2019",Oakland (4),California,1,4,5,"An argument escalated between two men outside a Laurel District bar, leading to a man killed and three men and a woman injured.[139]"
"September 13, 2019",Cincinnati,Ohio,0,4[n 3],4,A feud between two men led to four people being injured after it escalated in the North Fairmont neighborhood.[140]
"September 12, 2019",Albuquerque (3),New Mexico,1,3,4,One person was killed and three others injured at a local apartment complex.[141]
"September 12, 2019",Albuquerque (2),New Mexico,4,2,6,"Two adults, a 16-year-old girl, and a 17-year-old boy were killed and two others injured in a mobile home park.[142][143]"
"September 10, 2019",Chicago (27),Illinois,0,4,4,Three young adult males and a 17-year-old boy were injured in the back of a house in the West Town neighborhood.[144]
"September 8, 2019",Alexandria (2),Louisiana,1,3,4,A woman shot and killed one woman and injured three others after a continuation of an argument escalated.[145]
"September 8, 2019",Sumter (1),South Carolina,2,3,5,"Two men were killed and three other individuals injured at a local convenience store, in the early morning.[146]"
"September 7, 2019",Whiteville,North Carolina,3,1,4,"A husband, wife and their five-year-old son were killed while the grandmother was injured in a targeted attack.[147]"
"September 6, 2019",Saint Croix,United States Virgin Islands,0,4,4,Four people were shot at a housing community.[148]
"September 4, 2019",Marrero,Louisiana,2,2,4,"A man and a seven-year-old girl were killed, and another man and a 11-year-old boy were injured after an argument apparently escalated.[149]"
"September 4, 2019",Jacksonville (4),Florida,0,4,4,Three adults and a child were wounded in a shooting.[150]
"September 2, 2019",Elkmont,Alabama,5,0,5,A 14-year-old boy shot dead five family members – two adults and three children – in an Alabama residence. He confessed the crime to the police.[151] The perpetrator was sentenced to life in 2023.[152]
"September 2, 2019",Chicago (26),Illinois,0,4,4,Four men were wounded in a drive-by shooting outside of a CTA Green Line station in Washington Park.[153]
"September 2, 2019",Greensboro,North Carolina,2,2,4,Two men were killed and a woman and small child injured during a home invasion.[154]
"September 1, 2019",Rocky Mount,North Carolina,0,4,4,Four people were shot at a private party at a Moose Lodge.[155]
"September 1, 2019",Valley,Alabama,0,7,7,Six adult males and a 15-year-old boy were wounded outside a kindergarten after an argument over a Lanett vs. Lafayette football game escalated.[156]
"September 1, 2019",Hartford (2),Connecticut,0,4,4,Three men and a 17-year-old boy were wounded in a shooting.[157]
"September 1, 2019",Toledo (1),Ohio,0,4,4,Four people were found shot in the early morning.[158]
"August 31, 2019",Charlotte (4),North Carolina,1,3,4,A man was killed and three others were injured at a University of North Carolina at Charlotte off-campus apartment complex.[159]
"August 31, 2019",Frederick,Maryland,0,4,4,Four people were injured after an argument escalated.[160]
"August 30, 2019",Mobile (2),Alabama,0,10,10,"Ten people, ranging in age from 15 to 18, were injured at a high school football game after a fight escalated.[161]"
"August 30, 2019",Baltimore (12),Maryland,1,3,4,A woman was killed and three others were injured in a possible retaliation to a previous stabbing.[162]
"August 29, 2019",Baltimore (11),Maryland,1,3,4,"A 16-year-old boy was killed, while two teen boys – a 14-year-old and 15-year-old – and an adult woman were injured.[163]"
"August 26, 2019",Pembroke Falls,Florida,4[n 1],0,4,"A man killed his wife, mother-in-law, and one of his three-year-old twin daughters before committing suicide.[164]"
"August 25, 2019",Chicago (25),Illinois,1,3,4,A 17-year-old boy was killed and three adults were wounded after a large group was fired upon.[165]
"August 25, 2019",Hobbs*,New Mexico,3,4,7,"Hobbs, New Mexico party shootingPolice responded to a party due to a shots fired call and found three dead and four wounded.[166]"
"August 24, 2019",Lynn,Massachusetts,1,3,4,A man was killed and three were injured while attending a basketball tournament.[167]
"August 24, 2019",Coconut Creek,Florida,2,3,5,"Two people were killed and three were injured, including a police officer, in a shooting. A suspect was apprehended.[168]"
"August 24, 2019",Temple,Maryland,0,7,7,Seven people were wounded at a two-year-old's birthday party after a fight escalated.[169]
"August 23, 2019",St. Louis (5),Missouri,1,3,4,An eight-year-old girl was killed and three others were wounded in a shooting near Soldan High School.[170]
"August 23, 2019",Houston (8),Texas,2,2,4,Two men were killed and a man and woman were injured in a drive-by shooting.[171]
"August 22, 2019",Columbia (2),South Carolina,2,2,4,"A man opened fire on patrons at a bar, killing two and wounding two others, after being kicked out.[172]"
"August 22, 2019",Los Angeles (5),California,0,4,4,"Four people, including a social worker and a security guard were wounded in the Skid Row district.[173]"
"August 20, 2019",Atlanta (6),Georgia,0,4,4,Four female students from Clark Atlanta University and Spelman College were wounded during a block party.[174]
"August 18, 2019",Kansas City (3),Missouri,0,4,4,Four teenagers were wounded after an argument escalated during a gathering in a hotel room.[175]
"August 17, 2019",Houston (7),Texas,0,7,7,Seven people were injured in a shooting at a party.[176]
"August 17, 2019",Kansas City (2),Missouri,0,4,4,Police responded to a shooting call and discovered four people wounded.[177]
"August 17, 2019",Newport News,Virginia,1,3[n 1],4,"A woman was killed, and responding officers engaged with the suspect causing an officer, bystander and the suspect to be wounded.[178]"
"August 15, 2019",Philadelphia (8),Pennsylvania,0,5,5,Four men and a teenage boy were wounded.[179]
"August 15, 2019",Montgomery (1),Alabama,2,3,5,Two people were killed and three wounded in a shooting near Alabama State University.[180]
"August 14, 2019",New Manchester,West Virginia,1,5[n 1][n 4],6,A man killed his girlfriend and injured five others and a dog before being wounded by police and arrested.[181]
